symbol,date,long_shares,short_shares,close,equity,market_value,margin,unrealized_pnl
CGNX,2017-06-07,537,0,47.32,25410.84,25410.84,0.0,8248.32
IBM,2017-06-08,44,0,145.41,6398.09,6398.09,0.0,-694.43
HPQ,2017-06-08,480,0,18.28,8774.4,8774.4,0.0,1560.0
INTC,2017-06-08,191,0,36.48,6967.68,6967.68,0.0,-15.28
GE,2017-06-08,36,0,165.68,5964.33,5964.33,0.0,-894.03
AMD,2017-06-08,2099,0,12.9,27077.1,27077.1,0.0,3190.48
COHU,2017-06-08,1229,0,19.6,24088.4,24088.4,0.0,7214.23
MSFT,2017-06-08,111,0,71.95,7986.45,7986.45,0.0,1056.72
TXN,2017-06-08,95,0,84.34,8012.3,8012.3,0.0,1019.35
CGNX,2017-06-08,537,0,47.96,25754.52,25754.52,0.0,8592.0
IBM,2017-06-09,44,0,147.32,6482.22,6482.22,0.0,-610.3
HPQ,2017-06-09,480,0,17.8,8544.0,8544.0,0.0,1329.6
INTC,2017-06-09,191,0,35.71,6820.61,6820.61,0.0,-162.35
GE,2017-06-09,36,0,167.78,6039.99,6039.99,0.0,-818.37
AMD,2017-06-09,2099,0,12.28,25775.72,25775.72,0.0,1889.1
COHU,2017-06-09,1229,0,18.98,23326.42,23326.42,0.0,6452.25
MSFT,2017-06-09,111,0,70.32,7805.52,7805.52,0.0,875.79
TXN,2017-06-09,95,0,80.9,7685.5,7685.5,0.0,692.55
CGNX,2017-06-09,537,0,46.94,25209.46,25209.46,0.0,8046.94
IBM,2017-06-12,44,0,148.36,6527.65,6527.65,0.0,-564.87
HPQ,2017-06-12,480,0,17.76,8524.8,8524.8,0.0,1310.4
INTC,2017-06-12,191,0,35.73,6824.43,6824.43,0.0,-158.53
GE,2017-06-12,36,0,173.78,6256.17,6256.17,0.0,-602.19
AMD,2017-06-12,2099,0,12.09,25376.91,25376.91,0.0,1490.29
COHU,2017-06-12,1229,0,18.19,22355.51,22355.51,0.0,5481.34
MSFT,2017-06-12,111,0,69.78,7745.58,7745.58,0.0,815.85
TXN,2017-06-12,95,0,81.05,7699.75,7699.75,0.0,706.8
CGNX,2017-06-12,537,0,44.92,24124.72,24124.72,0.0,6962.2
IBM,2017-06-13,44,0,147.47,6488.53,6488.53,0.0,-603.99
HPQ,2017-06-13,480,0,17.74,8515.2,8515.2,0.0,1300.8
INTC,2017-06-13,191,0,35.88,6853.08,6853.08,0.0,-129.88
GE,2017-06-13,36,0,170.84,6150.24,6150.24,0.0,-708.12
AMD,2017-06-13,2099,0,11.96,25104.04,25104.04,0.0,1217.42
COHU,2017-06-13,1229,0,18.25,22429.25,22429.25,0.0,5555.08
MSFT,2017-06-13,111,0,70.65,7842.15,7842.15,0.0,912.42
TXN,2017-06-13,95,0,80.99,7694.05,7694.05,0.0,701.1
CGNX,2017-06-13,537,0,45.15,24245.55,24245.55,0.0,7083.03
IBM,2017-06-14,44,0,147.05,6470.02,6470.02,0.0,-622.5
HPQ,2017-06-14,480,0,17.4,8352.0,8352.0,0.0,1137.6
INTC,2017-06-14,191,0,35.53,6786.23,6786.23,0.0,-196.73
GE,2017-06-14,36,0,172.28,6202.13,6202.13,0.0,-656.23
AMD,2017-06-14,2099,0,11.77,24705.23,24705.23,0.0,818.61
COHU,2017-06-14,1229,0,17.59,21618.11,21618.11,0.0,4743.94
MSFT,2017-06-14,111,0,70.27,7799.97,7799.97,0.0,870.24
TXN,2017-06-14,95,0,80.16,7615.2,7615.2,0.0,622.25
CGNX,2017-06-14,537,0,45.31,24334.15,24334.15,0.0,7171.63
IBM,2017-06-15,44,0,147.44,6487.27,6487.27,0.0,-605.25
HPQ,2017-06-15,480,0,17.27,8289.6,8289.6,0.0,1075.2
INTC,2017-06-15,191,0,35.31,6744.21,6744.21,0.0,-238.75
GE,2017-06-15,36,0,173.78,6256.17,6256.17,0.0,-602.19
AMD,2017-06-15,2099,0,11.5,24138.5,24138.5,0.0,251.88
COHU,2017-06-15,1229,0,17.24,21187.96,21187.96,0.0,4313.79
MSFT,2017-06-15,111,0,69.9,7758.9,7758.9,0.0,829.17
TXN,2017-06-15,95,0,80.08,7607.6,7607.6,0.0,614.65
CGNX,2017-06-15,537,0,44.87,24092.51,24092.51,0.0,6929.99
IBM,2017-06-16,44,0,148.55,6536.06,6536.06,0.0,-556.46
HPQ,2017-06-16,480,0,17.35,8328.0,8328.0,0.0,1113.6
INTC,2017-06-16,191,0,35.21,6725.11,6725.11,0.0,-257.85
GE,2017-06-16,36,0,174.14,6269.14,6269.14,0.0,-589.22
AMD,2017-06-16,2099,0,11.44,24012.56,24012.56,0.0,125.94
COHU,2017-06-16,1229,0,17.37,21347.73,21347.73,0.0,4473.56
MSFT,2017-06-16,111,0,70.0,7770.0,7770.0,0.0,840.27
TXN,2017-06-16,95,0,79.7,7571.5,7571.5,0.0,578.55
CGNX,2017-06-16,537,0,45.6,24489.88,24489.88,0.0,7327.36
IBM,2017-06-19,44,0,148.03,6513.35,6513.35,0.0,-579.17
HPQ,2017-06-19,480,0,17.69,8491.2,8491.2,0.0,1276.8
INTC,2017-06-19,191,0,35.51,6782.41,6782.41,0.0,-200.55
GE,2017-06-19,36,0,172.94,6225.91,6225.91,0.0,-632.45
AMD,2017-06-19,2099,0,11.93,25041.07,25041.07,0.0,1154.45
COHU,2017-06-19,1229,0,17.33,21298.57,21298.57,0.0,4424.4
MSFT,2017-06-19,111,0,70.87,7866.57,7866.57,0.0,936.84
TXN,2017-06-19,95,0,81.42,7734.9,7734.9,0.0,741.95
CGNX,2017-06-19,537,0,47.24,25370.56,25370.56,0.0,8208.04
IBM,2017-06-20,44,0,148.14,6517.97,6517.97,0.0,-574.55
HPQ,2017-06-20,480,0,17.83,8558.4,8558.4,0.0,1344.0
INTC,2017-06-20,191,0,34.86,6658.26,6658.26,0.0,-324.7
GE,2017-06-20,36,0,168.92,6081.07,6081.07,0.0,-777.29
AMD,2017-06-20,2099,0,12.64,26531.36,26531.36,0.0,2644.74
COHU,2017-06-20,1229,0,16.95,20831.55,20831.55,0.0,3957.38
MSFT,2017-06-20,111,0,69.91,7760.01,7760.01,0.0,830.28
TXN,2017-06-20,95,0,79.57,7559.15,7559.15,0.0,566.2
CGNX,2017-06-20,537,0,46.0,24702.0,24702.0,0.0,7539.48
IBM,2017-06-21,44,0,147.03,6469.18,6469.18,0.0,-623.34
HPQ,2017-06-21,480,0,17.71,8500.8,8500.8,0.0,1286.4
INTC,2017-06-21,191,0,34.58,6604.78,6604.78,0.0,-378.18
GE,2017-06-21,36,0,166.82,6005.4,6005.4,0.0,-852.96
AMD,2017-06-21,2099,0,13.98,29344.02,29344.02,0.0,5457.4
COHU,2017-06-21,1229,0,16.63,20438.27,20438.27,0.0,3564.1
MSFT,2017-06-21,111,0,70.27,7799.97,7799.97,0.0,870.24
TXN,2017-06-21,95,0,79.67,7568.65,7568.65,0.0,575.7
CGNX,2017-06-21,537,0,46.0,24702.0,24702.0,0.0,7539.48
IBM,2017-06-22,44,0,147.61,6494.84,6494.84,0.0,-597.68
HPQ,2017-06-22,480,0,17.71,8500.8,8500.8,0.0,1286.4
INTC,2017-06-22,191,0,34.36,6562.76,6562.76,0.0,-420.2
GE,2017-06-22,36,0,165.44,5955.68,5955.68,0.0,-902.68
AMD,2017-06-22,2099,0,14.38,30183.62,30183.62,0.0,6297.0
COHU,2017-06-22,1229,0,16.71,20536.59,20536.59,0.0,3662.42
MSFT,2017-06-22,111,0,70.26,7798.86,7798.86,0.0,869.13
TXN,2017-06-22,95,0,79.05,7509.75,7509.75,0.0,516.8
CGNX,2017-06-22,537,0,45.31,24328.79,24328.79,0.0,7166.27
IBM,2017-06-23,44,0,147.33,6482.64,6482.64,0.0,-609.88
HPQ,2017-06-23,480,0,17.8,8544.0,8544.0,0.0,1329.6
INTC,2017-06-23,191,0,34.19,6530.29,6530.29,0.0,-452.67
GE,2017-06-23,36,0,165.56,5960.01,5960.01,0.0,-898.35
AMD,2017-06-23,2099,0,14.17,29742.83,29742.83,0.0,5856.21
COHU,2017-06-23,1229,0,16.75,20585.75,20585.75,0.0,3711.58
MSFT,2017-06-23,111,0,71.21,7904.31,7904.31,0.0,974.58
TXN,2017-06-23,95,0,79.58,7560.1,7560.1,0.0,567.15
CGNX,2017-06-23,537,0,45.87,24632.19,24632.19,0.0,7469.67
IBM,2017-06-26,44,0,148.4,6529.75,6529.75,0.0,-562.77
HPQ,2017-06-26,480,0,18.16,8716.8,8716.8,0.0,1502.4
INTC,2017-06-26,191,0,34.07,6507.37,6507.37,0.0,-475.59
GE,2017-06-26,36,0,165.8,5968.65,5968.65,0.0,-889.71
AMD,2017-06-26,2099,0,14.08,29553.92,29553.92,0.0,5667.3
COHU,2017-06-26,1229,0,16.56,20352.24,20352.24,0.0,3478.07
MSFT,2017-06-26,111,0,70.53,7828.83,7828.83,0.0,899.1
TXN,2017-06-26,95,0,78.31,7439.45,7439.45,0.0,446.5
CGNX,2017-06-26,537,0,45.96,24677.84,24677.84,0.0,7515.32
IBM,2017-06-27,44,0,147.94,6509.56,6509.56,0.0,-582.96
HPQ,2017-06-27,480,0,17.77,8529.6,8529.6,0.0,1315.2
INTC,2017-06-27,191,0,33.65,6427.15,6427.15,0.0,-555.81
GE,2017-06-27,36,0,163.39,5882.18,5882.18,0.0,-976.18
AMD,2017-06-27,2099,0,13.4,28126.6,28126.6,0.0,4239.98
COHU,2017-06-27,1229,0,16.4,20155.6,20155.6,0.0,3281.43
MSFT,2017-06-27,111,0,69.21,7682.31,7682.31,0.0,752.58
TXN,2017-06-27,95,0,76.95,7310.25,7310.25,0.0,317.3
CGNX,2017-06-27,537,0,44.74,24028.06,24028.06,0.0,6865.54
IBM,2017-06-28,44,0,148.49,6533.54,6533.54,0.0,-558.98
HPQ,2017-06-28,480,0,18.03,8654.4,8654.4,0.0,1440.0
INTC,2017-06-28,191,0,34.2,6532.2,6532.2,0.0,-450.76
GE,2017-06-28,36,0,162.61,5854.08,5854.08,0.0,-1004.28
AMD,2017-06-28,2099,0,13.23,27769.77,27769.77,0.0,3883.15
COHU,2017-06-28,1229,0,16.47,20241.63,20241.63,0.0,3367.46
MSFT,2017-06-28,111,0,69.8,7747.8,7747.8,0.0,818.07
TXN,2017-06-28,95,0,78.06,7415.7,7415.7,0.0,422.75
CGNX,2017-06-28,537,0,45.13,24237.49,24237.49,0.0,7074.97
IBM,2017-06-29,44,0,147.35,6483.48,6483.48,0.0,-609.04
HPQ,2017-06-29,480,0,17.57,8433.6,8433.6,0.0,1219.2
INTC,2017-06-29,191,0,33.54,6406.14,6406.14,0.0,-576.82
GE,2017-06-29,36,0,162.25,5841.11,5841.11,0.0,-1017.25
AMD,2017-06-29,2099,0,12.6,26447.4,26447.4,0.0,2560.78
COHU,2017-06-29,1229,0,16.0,19664.0,19664.0,0.0,2789.83
MSFT,2017-06-29,111,0,68.49,7602.39,7602.39,0.0,672.66
TXN,2017-06-29,95,0,76.9,7305.5,7305.5,0.0,312.55
CGNX,2017-06-29,537,0,42.96,23066.84,23066.84,0.0,5904.32
IBM,2017-06-30,44,0,147.07,6470.86,6470.86,0.0,-621.66
HPQ,2017-06-30,480,0,17.48,8390.4,8390.4,0.0,1176.0
INTC,2017-06-30,191,0,33.74,6444.34,6444.34,0.0,-538.62
GE,2017-06-30,36,0,162.19,5838.95,5838.95,0.0,-1019.41
AMD,2017-06-30,2099,0,12.48,26195.52,26195.52,0.0,2308.9
COHU,2017-06-30,1229,0,15.74,19344.46,19344.46,0.0,2470.29
MSFT,2017-06-30,111,0,68.93,7651.23,7651.23,0.0,721.5
TXN,2017-06-30,95,0,76.93,7308.35,7308.35,0.0,315.4
CGNX,2017-06-30,537,0,42.45,22795.65,22795.65,0.0,5633.13
IBM,2017-07-03,44,0,148.74,6544.47,6544.47,0.0,-548.05
HPQ,2017-07-03,480,0,17.56,8428.8,8428.8,0.0,1214.4
INTC,2017-07-03,191,0,33.46,6390.86,6390.86,0.0,-592.1
GE,2017-07-03,36,0,164.84,5934.07,5934.07,0.0,-924.29
AMD,2017-07-03,2099,0,12.15,25502.85,25502.85,0.0,1616.23
COHU,2017-07-03,1229,0,15.78,19393.62,19393.62,0.0,2519.45
MSFT,2017-07-03,111,0,68.17,7566.87,7566.87,0.0,637.14
TXN,2017-07-03,95,0,76.41,7258.95,7258.95,0.0,266.0
CGNX,2017-07-03,537,0,42.49,22819.81,22819.81,0.0,5657.29
IBM,2017-07-05,44,0,146.91,6464.13,6464.13,0.0,-628.39
HPQ,2017-07-05,480,0,17.65,8472.0,8472.0,0.0,1257.6
INTC,2017-07-05,191,0,34.34,6558.94,6558.94,0.0,-424.02
GE,2017-07-05,36,0,164.23,5912.45,5912.45,0.0,-945.91
AMD,2017-07-05,2099,0,13.19,27685.81,27685.81,0.0,3799.19
COHU,2017-07-05,1229,0,15.72,19319.88,19319.88,0.0,2445.71
MSFT,2017-07-05,111,0,69.08,7667.88,7667.88,0.0,738.15
TXN,2017-07-05,95,0,76.91,7306.45,7306.45,0.0,313.5
CGNX,2017-07-05,537,0,43.06,23123.22,23123.22,0.0,5960.7
IBM,2017-07-06,44,0,145.66,6409.02,6409.02,0.0,-683.5
HPQ,2017-07-06,480,0,17.19,8251.2,8251.2,0.0,1036.8
INTC,2017-07-06,191,0,33.63,6423.33,6423.33,0.0,-559.63
GE,2017-07-06,36,0,157.99,5687.62,5687.62,0.0,-1170.74
AMD,2017-07-06,2099,0,13.02,27328.98,27328.98,0.0,3442.36
COHU,2017-07-06,1229,0,15.69,19283.01,19283.01,0.0,2408.84
MSFT,2017-07-06,111,0,68.57,7611.27,7611.27,0.0,681.54
TXN,2017-07-06,95,0,76.86,7301.7,7301.7,0.0,308.75
CGNX,2017-07-06,537,0,42.83,22999.71,22999.71,0.0,5837.19
IBM,2017-07-07,44,0,146.21,6433.42,6433.42,0.0,-659.1
HPQ,2017-07-07,480,0,17.35,8328.0,8328.0,0.0,1113.6
INTC,2017-07-07,191,0,33.88,6471.08,6471.08,0.0,-511.88
GE,2017-07-07,36,0,157.03,5653.04,5653.04,0.0,-1205.32
AMD,2017-07-07,2099,0,13.36,28042.64,28042.64,0.0,4156.02
COHU,2017-07-07,1229,0,16.19,19897.51,19897.51,0.0,3023.34
MSFT,2017-07-07,111,0,69.46,7710.06,7710.06,0.0,780.33
TXN,2017-07-07,95,0,78.48,7455.6,7455.6,0.0,462.65
CGNX,2017-07-07,537,0,44.51,23901.87,23901.87,0.0,6739.35
IBM,2017-07-10,44,0,146.67,6453.61,6453.61,0.0,-638.91
HPQ,2017-07-10,480,0,17.87,8577.6,8577.6,0.0,1363.2
INTC,2017-07-10,191,0,33.65,6427.15,6427.15,0.0,-555.81
GE,2017-07-10,36,0,156.37,5629.26,5629.26,0.0,-1229.1
AMD,2017-07-10,2099,0,13.81,28987.19,28987.19,0.0,5100.57
COHU,2017-07-10,1229,0,16.32,20057.28,20057.28,0.0,3183.11
MSFT,2017-07-10,111,0,69.98,7767.78,7767.78,0.0,838.05
TXN,2017-07-10,95,0,78.78,7484.1,7484.1,0.0,491.15
CGNX,2017-07-10,537,0,44.72,24017.32,24017.32,0.0,6854.8
IBM,2017-07-11,44,0,146.45,6443.94,6443.94,0.0,-648.58
HPQ,2017-07-11,480,0,17.94,8611.2,8611.2,0.0,1396.8
INTC,2017-07-11,191,0,33.92,6478.72,6478.72,0.0,-504.24
GE,2017-07-11,36,0,158.41,5702.76,5702.76,0.0,-1155.6
AMD,2017-07-11,2099,0,13.89,29155.11,29155.11,0.0,5268.49
COHU,2017-07-11,1229,0,16.71,20536.59,20536.59,0.0,3662.42
MSFT,2017-07-11,111,0,69.99,7768.89,7768.89,0.0,839.16
TXN,2017-07-11,95,0,79.04,7508.8,7508.8,0.0,515.85
CGNX,2017-07-11,537,0,44.17,23719.29,23719.29,0.0,6556.77
IBM,2017-07-12,44,0,146.94,6465.39,6465.39,0.0,-627.13
HPQ,2017-07-12,480,0,18.04,8659.2,8659.2,0.0,1444.8
INTC,2017-07-12,191,0,34.25,6541.75,6541.75,0.0,-441.21
GE,2017-07-12,36,0,159.61,5745.99,5745.99,0.0,-1112.37
AMD,2017-07-12,2099,0,14.29,29994.71,29994.71,0.0,6108.09
COHU,2017-07-12,1229,0,17.47,21470.63,21470.63,0.0,4596.46
MSFT,2017-07-12,111,0,71.15,7897.65,7897.65,0.0,967.92
TXN,2017-07-12,95,0,80.52,7649.4,7649.4,0.0,656.45
CGNX,2017-07-12,537,0,45.08,24205.28,24205.28,0.0,7042.76
IBM,2017-07-13,44,0,146.87,6462.45,6462.45,0.0,-630.07
HPQ,2017-07-13,480,0,18.08,8678.4,8678.4,0.0,1464.0
INTC,2017-07-13,191,0,34.24,6539.84,6539.84,0.0,-443.12
GE,2017-07-13,36,0,160.87,5791.39,5791.39,0.0,-1066.97
AMD,2017-07-13,2099,0,13.53,28399.47,28399.47,0.0,4512.85
COHU,2017-07-13,1229,0,17.06,20966.74,20966.74,0.0,4092.57
MSFT,2017-07-13,111,0,71.77,7966.47,7966.47,0.0,1036.74
TXN,2017-07-13,95,0,80.54,7651.3,7651.3,0.0,658.35
CGNX,2017-07-13,537,0,44.69,23998.53,23998.53,0.0,6836.01
IBM,2017-07-14,44,0,147.46,6488.11,6488.11,0.0,-604.41
HPQ,2017-07-14,480,0,18.42,8841.6,8841.6,0.0,1627.2
INTC,2017-07-14,191,0,34.68,6623.88,6623.88,0.0,-359.08
GE,2017-07-14,36,0,160.81,5789.23,5789.23,0.0,-1069.13
AMD,2017-07-14,2099,0,13.92,29218.08,29218.08,0.0,5331.46
COHU,2017-07-14,1229,0,18.01,22134.29,22134.29,0.0,5260.12
MSFT,2017-07-14,111,0,72.78,8078.58,8078.58,0.0,1148.85
TXN,2017-07-14,95,0,82.0,7790.0,7790.0,0.0,797.05
CGNX,2017-07-14,537,0,44.74,24022.7,24022.7,0.0,6860.18
IBM,2017-07-17,44,0,146.28,6436.37,6436.37,0.0,-656.15
HPQ,2017-07-17,480,0,18.47,8865.6,8865.6,0.0,1651.2
INTC,2017-07-17,191,0,34.47,6583.77,6583.77,0.0,-399.19
GE,2017-07-17,36,0,161.05,5797.87,5797.87,0.0,-1060.49
AMD,2017-07-17,2099,0,13.8,28966.2,28966.2,0.0,5079.58
COHU,2017-07-17,1229,0,19.45,23904.05,23904.05,0.0,7029.88
MSFT,2017-07-17,111,0,73.35,8141.85,8141.85,0.0,1212.12
TXN,2017-07-17,95,0,81.66,7757.7,7757.7,0.0,764.75
CGNX,2017-07-17,537,0,44.59,23944.83,23944.83,0.0,6782.31
IBM,2017-07-18,44,0,147.23,6478.01,6478.01,0.0,-614.51
HPQ,2017-07-18,480,0,18.39,8827.2,8827.2,0.0,1612.8
INTC,2017-07-18,191,0,34.53,6595.23,6595.23,0.0,-387.73
GE,2017-07-18,36,0,161.47,5813.01,5813.01,0.0,-1045.35
AMD,2017-07-18,2099,0,13.48,28294.52,28294.52,0.0,4407.9
COHU,2017-07-18,1229,0,19.47,23928.63,23928.63,0.0,7054.46
MSFT,2017-07-18,111,0,73.3,8136.3,8136.3,0.0,1206.57
TXN,2017-07-18,95,0,82.16,7805.2,7805.2,0.0,812.25
CGNX,2017-07-18,537,0,44.4,23842.8,23842.8,0.0,6680.28
IBM,2017-07-19,44,0,141.04,6205.85,6205.85,0.0,-886.67
HPQ,2017-07-19,480,0,18.7,8976.0,8976.0,0.0,1761.6
INTC,2017-07-19,191,0,34.56,6600.96,6600.96,0.0,-382.0
GE,2017-07-19,36,0,161.77,5823.82,5823.82,0.0,-1034.54
AMD,2017-07-19,2099,0,13.55,28441.45,28441.45,0.0,4554.83
COHU,2017-07-19,1229,0,19.67,24174.43,24174.43,0.0,7300.26
MSFT,2017-07-19,111,0,73.86,8198.46,8198.46,0.0,1268.73
TXN,2017-07-19,95,0,82.16,7805.2,7805.2,0.0,812.25
CGNX,2017-07-19,537,0,45.05,24191.85,24191.85,0.0,7029.33
IBM,2017-07-20,44,0,141.17,6211.32,6211.32,0.0,-881.2
HPQ,2017-07-20,480,0,18.94,9091.2,9091.2,0.0,1876.8
INTC,2017-07-20,191,0,34.75,6637.25,6637.25,0.0,-345.71
GE,2017-07-20,36,0,160.27,5769.77,5769.77,0.0,-1088.59
AMD,2017-07-20,2099,0,13.8,28966.2,28966.2,0.0,5079.58
COHU,2017-07-20,1229,0,19.58,24063.82,24063.82,0.0,7189.65
MSFT,2017-07-20,111,0,74.22,8238.42,8238.42,0.0,1308.69
TXN,2017-07-20,95,0,82.69,7855.55,7855.55,0.0,862.6
CGNX,2017-07-20,537,0,45.15,24248.23,24248.23,0.0,7085.71
IBM,2017-07-21,44,0,140.61,6186.92,6186.92,0.0,-905.6
HPQ,2017-07-21,480,0,19.15,9192.0,9192.0,0.0,1977.6
INTC,2017-07-21,191,0,34.73,6633.43,6633.43,0.0,-349.53
GE,2017-07-21,36,0,155.59,5601.15,5601.15,0.0,-1257.21
AMD,2017-07-21,2099,0,13.88,29134.12,29134.12,0.0,5247.5
COHU,2017-07-21,1229,0,19.28,23695.12,23695.12,0.0,6820.95
MSFT,2017-07-21,111,0,73.79,8190.69,8190.69,0.0,1260.96
TXN,2017-07-21,95,0,81.7,7761.5,7761.5,0.0,768.55
CGNX,2017-07-21,537,0,45.92,24659.04,24659.04,0.0,7496.52
IBM,2017-07-24,44,0,139.57,6141.07,6141.07,0.0,-951.45
HPQ,2017-07-24,480,0,19.24,9235.2,9235.2,0.0,2020.8
INTC,2017-07-24,191,0,34.5,6589.5,6589.5,0.0,-393.46
GE,2017-07-24,36,0,152.71,5497.39,5497.39,0.0,-1360.97
AMD,2017-07-24,2099,0,14.16,29721.84,29721.84,0.0,5835.22
COHU,2017-07-24,1229,0,19.46,23916.34,23916.34,0.0,7042.17
MSFT,2017-07-24,111,0,73.6,8169.6,8169.6,0.0,1239.87
TXN,2017-07-24,95,0,80.92,7687.4,7687.4,0.0,694.45
CGNX,2017-07-24,537,0,47.44,25472.6,25472.6,0.0,8310.08
IBM,2017-07-25,44,0,139.76,6149.48,6149.48,0.0,-943.04
HPQ,2017-07-25,480,0,19.41,9316.8,9316.8,0.0,2102.4
INTC,2017-07-25,191,0,34.67,6621.97,6621.97,0.0,-360.99
GE,2017-07-25,36,0,152.77,5499.55,5499.55,0.0,-1358.81
AMD,2017-07-25,2099,0,14.11,29616.89,29616.89,0.0,5730.27
COHU,2017-07-25,1229,0,19.58,24063.82,24063.82,0.0,7189.65
MSFT,2017-07-25,111,0,74.19,8235.09,8235.09,0.0,1305.36
TXN,2017-07-25,95,0,81.39,7732.05,7732.05,0.0,739.1
CGNX,2017-07-25,537,0,47.56,25542.4,25542.4,0.0,8379.88
IBM,2017-07-26,44,0,138.97,6114.57,6114.57,0.0,-977.95
HPQ,2017-07-26,480,0,19.26,9244.8,9244.8,0.0,2030.4
INTC,2017-07-26,191,0,34.75,6637.25,6637.25,0.0,-345.71
GE,2017-07-26,36,0,153.67,5531.98,5531.98,0.0,-1326.38
AMD,2017-07-26,2099,0,14.76,30981.24,30981.24,0.0,7094.62
COHU,2017-07-26,1229,0,19.75,24272.75,24272.75,0.0,7398.58
MSFT,2017-07-26,111,0,74.05,8219.55,8219.55,0.0,1289.82
TXN,2017-07-26,95,0,82.53,7840.35,7840.35,0.0,847.4
CGNX,2017-07-26,537,0,47.7,25614.9,25614.9,0.0,8452.38
IBM,2017-07-27,44,0,138.69,6102.37,6102.37,0.0,-990.15
HPQ,2017-07-27,480,0,19.21,9220.8,9220.8,0.0,2006.4
INTC,2017-07-27,191,0,34.97,6679.27,6679.27,0.0,-303.69
GE,2017-07-27,36,0,154.87,5575.21,5575.21,0.0,-1283.15
AMD,2017-07-27,2099,0,14.12,29637.88,29637.88,0.0,5751.26
COHU,2017-07-27,1229,0,19.4,23842.6,23842.6,0.0,6968.43
MSFT,2017-07-27,111,0,73.16,8120.76,8120.76,0.0,1191.03
TXN,2017-07-27,95,0,80.97,7692.15,7692.15,0.0,699.2
CGNX,2017-07-27,537,0,47.49,25504.81,25504.81,0.0,8342.29
IBM,2017-07-28,44,0,137.94,6069.56,6069.56,0.0,-1022.96
HPQ,2017-07-28,480,0,19.17,9201.6,9201.6,0.0,1987.2
INTC,2017-07-28,191,0,35.31,6744.21,6744.21,0.0,-238.75
GE,2017-07-28,36,0,153.31,5519.01,5519.01,0.0,-1339.35
AMD,2017-07-28,2099,0,13.95,29281.05,29281.05,0.0,5394.43
COHU,2017-07-28,1229,0,19.19,23584.51,23584.51,0.0,6710.34
MSFT,2017-07-28,111,0,73.04,8107.44,8107.44,0.0,1177.71
TXN,2017-07-28,95,0,80.71,7667.45,7667.45,0.0,674.5
CGNX,2017-07-28,537,0,47.4,25453.8,25453.8,0.0,8291.28
IBM,2017-07-31,44,0,138.31,6085.55,6085.55,0.0,-1006.97
HPQ,2017-07-31,480,0,19.1,9168.0,9168.0,0.0,1953.6
INTC,2017-07-31,191,0,35.47,6774.77,6774.77,0.0,-208.19
GE,2017-07-31,36,0,153.79,5536.3,5536.3,0.0,-1322.06
AMD,2017-07-31,2099,0,13.61,28567.39,28567.39,0.0,4680.77
COHU,2017-07-31,1229,0,18.22,22392.38,22392.38,0.0,5518.21
MSFT,2017-07-31,111,0,72.7,8069.7,8069.7,0.0,1139.97
TXN,2017-07-31,95,0,81.38,7731.1,7731.1,0.0,738.15
CGNX,2017-07-31,537,0,47.53,25523.61,25523.61,0.0,8361.09
IBM,2017-08-01,44,0,138.91,6112.05,6112.05,0.0,-980.47
HPQ,2017-08-01,480,0,19.14,9187.2,9187.2,0.0,1972.8
INTC,2017-08-01,191,0,36.35,6942.85,6942.85,0.0,-40.11
GE,2017-08-01,36,0,152.77,5499.55,5499.55,0.0,-1358.81
AMD,2017-08-01,2099,0,13.71,28777.29,28777.29,0.0,4890.67
COHU,2017-08-01,1229,0,18.04,22171.16,22171.16,0.0,5296.99
MSFT,2017-08-01,111,0,72.58,8056.38,8056.38,0.0,1126.65
TXN,2017-08-01,95,0,81.71,7762.45,7762.45,0.0,769.5
CGNX,2017-08-01,537,0,52.64,28267.68,28267.68,0.0,11105.16
IBM,2017-08-02,44,0,138.1,6076.29,6076.29,0.0,-1016.23
HPQ,2017-08-02,480,0,19.1,9168.0,9168.0,0.0,1953.6
INTC,2017-08-02,191,0,36.64,6998.24,6998.24,0.0,15.28
GE,2017-08-02,36,0,153.25,5516.84,5516.84,0.0,-1341.52
AMD,2017-08-02,2099,0,13.37,28063.63,28063.63,0.0,4177.01
COHU,2017-08-02,1229,0,17.6,21630.4,21630.4,0.0,4756.23
MSFT,2017-08-02,111,0,72.26,8020.86,8020.86,0.0,1091.13
TXN,2017-08-02,95,0,81.31,7724.45,7724.45,0.0,731.5
CGNX,2017-08-02,537,0,50.81,27282.29,27282.29,0.0,10119.77
IBM,2017-08-03,44,0,138.57,6096.9,6096.9,0.0,-995.62
HPQ,2017-08-03,480,0,19.36,9292.8,9292.8,0.0,2078.4
INTC,2017-08-03,191,0,36.49,6969.59,6969.59,0.0,-13.37
GE,2017-08-03,36,0,154.69,5568.73,5568.73,0.0,-1289.63
AMD,2017-08-03,2099,0,13.24,27790.76,27790.76,0.0,3904.14
COHU,2017-08-03,1229,0,17.51,21519.79,21519.79,0.0,4645.62
MSFT,2017-08-03,111,0,72.15,8008.65,8008.65,0.0,1078.92
TXN,2017-08-03,95,0,81.36,7729.2,7729.2,0.0,736.25
CGNX,2017-08-03,537,0,50.73,27242.01,27242.01,0.0,10079.49
IBM,2017-08-04,44,0,138.78,6106.16,6106.16,0.0,-986.36
HPQ,2017-08-04,480,0,19.37,9297.6,9297.6,0.0,2083.2
INTC,2017-08-04,191,0,36.3,6933.3,6933.3,0.0,-49.66
