symbol,date,long_shares,short_shares,close,equity,market_value,margin,unrealized_pnl
AMD,2017-04-05,2099,0,14.17,29742.83,29742.83,0.0,5856.21
COHU,2017-04-05,1229,0,18.01,22134.29,22134.29,0.0,5260.12
MSFT,2017-04-05,111,0,65.56,7277.16,7277.16,0.0,347.43
TXN,2017-04-05,95,0,80.08,7607.6,7607.6,0.0,614.65
CGNX,2017-04-05,537,0,41.65,22366.05,22366.05,0.0,5203.53
IBM,2017-04-06,44,0,164.87,7254.11,7254.11,0.0,161.59
HPQ,2017-04-06,480,0,17.56,8428.8,8428.8,0.0,1214.4
INTC,2017-04-06,191,0,36.03,6881.73,6881.73,0.0,-101.23
GE,2017-04-06,36,0,179.73,6470.19,6470.19,0.0,-388.17
AMD,2017-04-06,2099,0,13.27,27853.73,27853.73,0.0,3967.11
COHU,2017-04-06,1229,0,18.1,22244.9,22244.9,0.0,5370.73
MSFT,2017-04-06,111,0,65.73,7296.03,7296.03,0.0,366.3
TXN,2017-04-06,95,0,80.1,7609.5,7609.5,0.0,616.55
CGNX,2017-04-06,537,0,42.56,22857.4,22857.4,0.0,5694.88
IBM,2017-04-07,44,0,164.57,7241.07,7241.07,0.0,148.55
HPQ,2017-04-07,480,0,17.37,8337.6,8337.6,0.0,1123.2
INTC,2017-04-07,191,0,36.03,6881.73,6881.73,0.0,-101.23
GE,2017-04-07,36,0,180.09,6483.16,6483.16,0.0,-375.2
AMD,2017-04-07,2099,0,13.52,28378.48,28378.48,0.0,4491.86
COHU,2017-04-07,1229,0,18.0,22122.0,22122.0,0.0,5247.83
MSFT,2017-04-07,111,0,65.68,7290.48,7290.48,0.0,360.75
TXN,2017-04-07,95,0,80.53,7650.35,7650.35,0.0,657.4
CGNX,2017-04-07,537,0,42.11,22613.07,22613.07,0.0,5450.55
IBM,2017-04-10,44,0,163.67,7201.53,7201.53,0.0,109.01
HPQ,2017-04-10,480,0,17.36,8332.8,8332.8,0.0,1118.4
INTC,2017-04-10,191,0,35.8,6837.8,6837.8,0.0,-145.16
GE,2017-04-10,36,0,180.21,6487.48,6487.48,0.0,-370.88
AMD,2017-04-10,2099,0,13.1,27496.9,27496.9,0.0,3610.28
COHU,2017-04-10,1229,0,18.33,22527.57,22527.57,0.0,5653.4
MSFT,2017-04-10,111,0,65.53,7273.83,7273.83,0.0,344.1
TXN,2017-04-10,95,0,80.13,7612.35,7612.35,0.0,619.4
CGNX,2017-04-10,537,0,41.85,22476.13,22476.13,0.0,5313.61
IBM,2017-04-11,44,0,163.08,7175.45,7175.45,0.0,82.93
HPQ,2017-04-11,480,0,17.54,8419.2,8419.2,0.0,1204.8
INTC,2017-04-11,191,0,35.74,6826.34,6826.34,0.0,-156.62
GE,2017-04-11,36,0,180.39,6493.97,6493.97,0.0,-364.39
AMD,2017-04-11,2099,0,13.1,27496.9,27496.9,0.0,3610.28
COHU,2017-04-11,1229,0,18.48,22711.92,22711.92,0.0,5837.75
MSFT,2017-04-11,111,0,65.48,7268.28,7268.28,0.0,338.55
TXN,2017-04-11,95,0,79.41,7543.95,7543.95,0.0,551.0
CGNX,2017-04-11,537,0,41.44,22255.96,22255.96,0.0,5093.44
IBM,2017-04-12,44,0,163.15,7178.81,7178.81,0.0,86.29
HPQ,2017-04-12,480,0,18.02,8649.6,8649.6,0.0,1435.2
INTC,2017-04-12,191,0,35.63,6805.33,6805.33,0.0,-177.63
GE,2017-04-12,36,0,178.77,6435.6,6435.6,0.0,-422.76
AMD,2017-04-12,2099,0,12.76,26783.24,26783.24,0.0,2896.62
COHU,2017-04-12,1229,0,18.1,22244.9,22244.9,0.0,5370.73
MSFT,2017-04-12,111,0,65.23,7240.53,7240.53,0.0,310.8
TXN,2017-04-12,95,0,78.48,7455.6,7455.6,0.0,462.65
CGNX,2017-04-12,537,0,40.69,21850.53,21850.53,0.0,4688.01
IBM,2017-04-13,44,0,162.07,7131.28,7131.28,0.0,38.76
HPQ,2017-04-13,480,0,18.2,8736.0,8736.0,0.0,1521.6
INTC,2017-04-13,191,0,35.25,6732.75,6732.75,0.0,-250.21
GE,2017-04-13,36,0,177.51,6390.2,6390.2,0.0,-468.16
AMD,2017-04-13,2099,0,12.31,25838.69,25838.69,0.0,1952.07
COHU,2017-04-13,1229,0,17.95,22060.55,22060.55,0.0,5186.38
MSFT,2017-04-13,111,0,64.95,7209.45,7209.45,0.0,279.72
TXN,2017-04-13,95,0,77.84,7394.8,7394.8,0.0,401.85
CGNX,2017-04-13,537,0,39.92,21434.36,21434.36,0.0,4271.84
IBM,2017-04-17,44,0,163.58,7197.32,7197.32,0.0,104.8
HPQ,2017-04-17,480,0,18.2,8736.0,8736.0,0.0,1521.6
INTC,2017-04-17,191,0,35.48,6776.68,6776.68,0.0,-206.28
GE,2017-04-17,36,0,177.99,6407.49,6407.49,0.0,-450.87
AMD,2017-04-17,2099,0,12.79,26846.21,26846.21,0.0,2959.59
COHU,2017-04-17,1229,0,17.94,22048.26,22048.26,0.0,5174.09
MSFT,2017-04-17,111,0,65.48,7268.28,7268.28,0.0,338.55
TXN,2017-04-17,95,0,78.72,7478.4,7478.4,0.0,485.45
CGNX,2017-04-17,537,0,40.56,21778.04,21778.04,0.0,4615.52
IBM,2017-04-18,44,0,162.57,7153.15,7153.15,0.0,60.63
HPQ,2017-04-18,480,0,18.22,8745.6,8745.6,0.0,1531.2
INTC,2017-04-18,191,0,35.77,6832.07,6832.07,0.0,-150.89
GE,2017-04-18,36,0,179.19,6450.73,6450.73,0.0,-407.63
AMD,2017-04-18,2099,0,12.95,27182.05,27182.05,0.0,3295.43
COHU,2017-04-18,1229,0,17.89,21986.81,21986.81,0.0,5112.64
MSFT,2017-04-18,111,0,65.39,7258.29,7258.29,0.0,328.56
TXN,2017-04-18,95,0,79.61,7562.95,7562.95,0.0,570.0
CGNX,2017-04-18,537,0,40.4,21694.8,21694.8,0.0,4532.28
IBM,2017-04-19,44,0,154.58,6801.49,6801.49,0.0,-291.03
HPQ,2017-04-19,480,0,18.38,8822.4,8822.4,0.0,1608.0
INTC,2017-04-19,191,0,35.91,6858.81,6858.81,0.0,-124.15
GE,2017-04-19,36,0,180.15,6485.32,6485.32,0.0,-373.04
AMD,2017-04-19,2099,0,12.84,26951.16,26951.16,0.0,3064.54
COHU,2017-04-19,1229,0,18.37,22576.73,22576.73,0.0,5702.56
MSFT,2017-04-19,111,0,65.04,7219.44,7219.44,0.0,289.71
TXN,2017-04-19,95,0,79.37,7540.15,7540.15,0.0,547.2
CGNX,2017-04-19,537,0,40.65,21831.73,21831.73,0.0,4669.21
IBM,2017-04-20,44,0,155.16,6827.15,6827.15,0.0,-265.37
HPQ,2017-04-20,480,0,18.52,8889.6,8889.6,0.0,1675.2
INTC,2017-04-20,191,0,36.18,6910.38,6910.38,0.0,-72.58
GE,2017-04-20,36,0,181.77,6543.69,6543.69,0.0,-314.67
AMD,2017-04-20,2099,0,13.11,27517.89,27517.89,0.0,3631.27
COHU,2017-04-20,1229,0,18.81,23117.49,23117.49,0.0,6243.32
MSFT,2017-04-20,111,0,65.5,7270.5,7270.5,0.0,340.77
TXN,2017-04-20,95,0,80.76,7672.2,7672.2,0.0,679.25
CGNX,2017-04-20,537,0,41.42,22239.86,22239.86,0.0,5077.34
IBM,2017-04-21,44,0,153.33,6746.39,6746.39,0.0,-346.13
HPQ,2017-04-21,480,0,18.29,8779.2,8779.2,0.0,1564.8
