id,type,symbol,entry_date,exit_date,entry,exit,shares,pnl,return_pct,agg_pnl,bars,pnl_per_bar,stop
257,long,IBM,2021-12-28,2022-01-25,132.4,132.82,1,0.42,0.32,2519.03,19,0.02,
258,long,IBM,2022-01-18,2022-01-25,132.83,132.82,1,-0.01,-0.01,2519.02,5,-0.0,
259,long,IBM,2022-01-21,2022-01-25,130.57,132.82,0,0.0,1.72,2519.02,2,0.0,
260,long,AMD,2021-06-21,2022-02-09,83.2,130.31,1,47.11,56.62,2566.13,162,0.29,
261,long,HPQ,2021-04-13,2022-02-28,32.72,34.1,25,34.5,4.22,2600.63,222,0.16,
262,long,HPQ,2021-04-21,2022-02-28,33.6,34.1,4,2.0,1.49,2602.63,216,0.01,
263,long,HPQ,2021-05-28,2022-02-28,29.83,34.1,1,4.27,14.31,2606.9,189,0.02,
264,long,HPQ,2021-06-21,2022-02-28,29.16,34.1,2,9.88,16.94,2616.78,174,0.06,
265,long,HPQ,2021-06-23,2022-02-28,29.23,34.1,1,4.87,16.66,2621.65,172,0.03,
266,long,HPQ,2021-06-29,2022-02-28,30.06,34.1,1,4.04,13.44,2625.69,168,0.02,
267,long,HPQ,2021-07-12,2022-02-28,29.28,34.1,1,4.82,16.46,2630.51,160,0.03,
268,long,HPQ,2021-07-19,2022-02-28,27.35,34.1,1,6.75,24.68,2637.26,155,0.04,
269,long,HPQ,2021-07-22,2022-02-28,28.18,34.1,1,5.92,21.01,2643.18,152,0.04,
270,long,HPQ,2021-08-16,2022-02-28,29.08,34.1,1,5.02,17.26,2648.2,135,0.04,
271,long,HPQ,2022-01-06,2022-02-28,38.56,34.1,4,-17.84,-11.57,2630.36,35,-0.51,
272,long,HPQ,2022-01-18,2022-02-28,37.94,34.1,1,-3.84,-10.12,2626.52,28,-0.14,
273,long,HPQ,2022-01-19,2022-02-28,37.29,34.1,3,-9.57,-8.55,2616.95,27,-0.35,
274,long,HPQ,2022-01-21,2022-02-28,35.44,34.1,2,-2.68,-3.78,2614.27,25,-0.11,
275,long,HPQ,2022-01-25,2022-02-28,34.5,34.1,2,-0.8,-1.16,2613.47,23,-0.03,
276,long,HPQ,2022-01-25,2022-03-03,34.5,36.4,2,3.8,5.51,2617.27,26,0.15,
277,long,IBM,2022-01-21,2022-03-25,130.57,130.35,8,-1.76,-0.17,2615.51,44,-0.04,
278,long,IBM,2022-02-28,2022-03-25,122.22,130.35,6,48.78,6.65,2664.29,19,2.57,
279,long,HPQ,2022-01-25,2022-04-01,34.5,35.8,26,33.8,3.77,2698.09,47,0.72,
280,long,HPQ,2022-02-09,2022-04-01,38.15,35.8,3,-7.05,-6.16,2691.04,36,-0.2,
281,long,HPQ,2022-03-25,2022-04-01,39.12,35.8,16,-53.12,-8.49,2637.92,5,-10.62,
282,long,AMD,2021-06-21,2022-04-05,83.2,108.27,1,25.07,30.13,2662.99,200,0.13,
283,long,HPQ,2022-03-25,2022-04-06,39.12,35.11,1,-4.01,-10.25,2658.98,8,-0.5,
284,long,INTC,2021-03-17,2022-04-07,65.0,47.34,1,-17.66,-27.17,2641.32,268,-0.07,
285,long,GE,2020-05-11,2022-04-07,38.66,69.15,1,30.49,78.87,2671.81,482,0.06,
286,long,GE,2020-05-29,2022-04-07,41.09,69.15,0,0.0,68.29,2671.81,469,0.0,
287,long,MSFT,2020-03-03,2022-04-08,168.63,298.7,1,130.07,77.13,2801.88,531,0.24,
288,long,MSFT,2020-03-20,2022-04-08,141.48,298.7,2,314.44,111.13,3116.32,518,0.61,
289,long,MSFT,2022-04-01,2022-04-08,307.84,298.7,1,-9.14,-2.97,3107.18,5,-1.83,
290,long,IBM,2022-02-28,2022-04-18,122.22,126.46,1,4.24,3.47,3111.42,34,0.12,
291,long,AMD,2021-06-21,2022-05-18,83.2,99.97,1,16.77,20.16,3128.19,230,0.07,
292,long,HPQ,2022-03-25,2022-07-07,39.12,31.73,29,-214.31,-18.89,2913.88,70,-3.06,
293,long,HPQ,2022-04-08,2022-07-07,39.22,31.73,10,-74.9,-19.1,2838.98,60,-1.25,
294,long,IBM,2022-02-28,2022-07-20,122.22,129.39,7,50.19,5.87,2889.17,98,0.51,
295,long,IBM,2022-07-07,2022-07-20,140.08,129.39,2,-21.38,-7.63,2867.79,9,-2.38,
296,long,INTC,2021-03-17,2022-07-20,65.0,40.11,1,-24.89,-38.29,2842.9,338,-0.07,
297,long,GE,2020-05-29,2022-07-27,41.09,55.62,1,14.53,35.36,2857.43,544,0.03,
298,long,GE,2020-06-10,2022-07-27,48.4,55.62,0,0.0,14.92,2857.43,536,0.0,
299,long,ADSK,2020-01-16,2022-07-28,192.31,207.92,1,15.61,8.12,2873.04,637,0.02,
300,long,AMD,2021-06-21,2022-08-02,83.2,98.14,1,14.94,17.96,2887.98,281,0.05,
301,long,AMD,2021-06-24,2022-08-02,85.76,98.14,1,12.38,14.44,2900.36,278,0.04,
302,long,HPQ,2022-04-08,2022-08-11,39.22,34.31,1,-4.91,-12.52,2895.45,85,-0.06,
303,long,IBM,2022-07-07,2022-08-18,140.08,138.43,1,-1.65,-1.18,2893.8,30,-0.06,
304,long,AMD,2021-06-24,2022-08-22,85.76,93.69,1,7.93,9.25,2901.73,292,0.03,
305,long,GE,2020-06-10,2022-09-01,48.4,56.47,1,8.07,16.67,2909.8,562,0.01,
306,long,GE,2020-06-24,2022-09-01,41.9,56.47,0,0.0,34.77,2909.8,552,0.0,
307,long,ADSK,2020-01-16,2022-09-09,192.31,211.69,1,19.38,10.08,2929.18,667,0.03,
