date,mva_qld_simple_60,mva_jesse_60,mva_old_tech_60
2020-01-02,,,
2020-01-03,,,
2020-01-06,,,
2020-01-07,,,
2020-01-08,,,
2020-01-09,,,
2020-01-10,,,
2020-01-13,,,
2020-01-14,,,
2020-01-15,,,
2020-01-16,,,
2020-01-17,,,
2020-01-21,,,
2020-01-22,,,
2020-01-23,,,
2020-01-24,,,
2020-01-27,,,
2020-01-28,,,
2020-01-29,,,
2020-01-30,,,
2020-01-31,,,
2020-02-03,,,
2020-02-04,,,
2020-02-05,,,
2020-02-06,,,
2020-02-07,,,
2020-02-10,,,
2020-02-11,,,
2020-02-12,,,
2020-02-13,,,
2020-02-14,,,
2020-02-18,,,
2020-02-19,,,
2020-02-20,,,
2020-02-21,,,
2020-02-24,,,
2020-02-25,,,
2020-02-26,,,
2020-02-27,,,
2020-02-28,,,
2020-03-02,,,
2020-03-03,,,
2020-03-04,,,
2020-03-05,,,
2020-03-06,,,
2020-03-09,,,
2020-03-10,,,
2020-03-11,,,
2020-03-12,,,
2020-03-13,,,
2020-03-16,,,
2020-03-17,,,
2020-03-18,,,
2020-03-19,,,
2020-03-20,,,
2020-03-23,,,
2020-03-24,,,
2020-03-25,,,
2020-03-26,,,
2020-03-27,,,
2020-03-30,0.34683331830164676,0.31560288121828456,0.33756380048006873
2020-03-31,0.346978931702776,0.3198949589815575,0.3331261093156664
2020-04-01,0.3522911304306759,0.3168891047163041,0.33081976485302006
2020-04-02,0.35370148845754495,0.3145920693130062,0.33170644222944884
2020-04-03,0.35499393961498016,0.31438477827745287,0.3306212821075669
2020-04-06,0.3459150896519393,0.31907500195443816,0.3350099083936225
2020-04-07,0.3455702825185182,0.3194499018808511,0.3349798156006307
2020-04-08,0.34427394125780253,0.32107009417892074,0.3346559645632766
2020-04-09,0.3414638583751011,0.3261180546506417,0.3324180869742571
2020-04-13,0.3420733683050906,0.3234779141842909,0.33444871751061844
2020-04-14,0.3437040471252565,0.32020793388101637,0.3360880189937271
2020-04-15,0.3461846315682672,0.31882905390935634,0.3349863145223766
2020-04-16,0.3476388683497704,0.31560364018270215,0.3367574914675275
2020-04-17,0.3439178369812907,0.3212060040849479,0.3348761589337613
2020-04-20,0.34490842661133886,0.32140572921572536,0.33368584417293584
2020-04-21,0.34549440382245905,0.3233195016674466,0.3311860945100944
2020-04-22,0.3456229619763614,0.3200677899949012,0.3343092480287373
2020-04-23,0.3455880561031142,0.3215786568340592,0.3328332870628266
2020-04-24,0.34546689968494815,0.3207506825911802,0.3337824177238716
2020-04-27,0.34335046444990874,0.32425494424247525,0.332394591307616
2020-04-28,0.3399557562047119,0.3270502087823607,0.33299403501292735
2020-04-29,0.3378360893487074,0.33174741773291444,0.33041649291837816
2020-04-30,0.33972900856511734,0.3326382075609137,0.327632783873969
2020-05-01,0.3446604970333604,0.32901142744473705,0.3263280755219026
2020-05-04,0.34448446754854584,0.32769948104619545,0.3278160514052587
2020-05-05,0.34426197076861964,0.3281003070216335,0.3276377222097468
2020-05-06,0.34576798626355437,0.32899070869905167,0.32524130503739396
2020-05-07,0.34747694022833586,0.32776520338232806,0.32475785638933613
2020-05-08,0.3441837274034431,0.33371573069380345,0.3221005419027535
2020-05-11,0.34308970821343876,0.33521238683678295,0.3216979049497783
2020-05-12,0.342991047629918,0.3360287031504087,0.3209802492196732
2020-05-13,0.34616768978946494,0.3328440552089532,0.3209882550015819
2020-05-14,0.34641676899357743,0.33152165834281627,0.3220615726636063
2020-05-15,0.3470275334591093,0.3305153043614485,0.3224571621794422
2020-05-18,0.34235834703302676,0.3328536583722149,0.32478799459475843
2020-05-19,0.3401888077128978,0.3344854005298557,0.3253257917572465
2020-05-20,0.33937107431762215,0.33652709329951175,0.32410183238286605
2020-05-21,0.337834081336386,0.3385636240680455,0.3236022945955685
2020-05-22,0.3393099814611637,0.3355401863068487,0.3251498322319877
2020-05-26,0.337540720833217,0.3393972103185384,0.3230620688482447
2020-05-27,0.33572619655086516,0.3432210665702689,0.32105273687886593
2020-05-28,0.33362427110461296,0.3459576491060516,0.3204180797893354
2020-05-29,0.33521073676783014,0.34642641321528334,0.31836285001688647
2020-06-01,0.33413464523610964,0.34778496116683577,0.3180803935970546
2020-06-02,0.33301020927193536,0.3487234678710253,0.3182663228570393
2020-06-03,0.3268871871136165,0.35272533125991895,0.32038748162646463
2020-06-04,0.32993835436587937,0.3512124933592409,0.31884915227487975
2020-06-05,0.32569740307767997,0.3531742985483198,0.3211282983740002
2020-06-08,0.3158877748611189,0.3572953799666136,0.32681684517226756
2020-06-09,0.3271695650997508,0.3549662269059937,0.31786420799425547
2020-06-10,0.3110934496741509,0.36380558662395496,0.32510096370189423
2020-06-11,0.3154672364185634,0.3678756641696557,0.3166570994117808
2020-06-12,0.3077793640739184,0.3713750841215365,0.32084555180454516
2020-06-15,0.3134523032091137,0.3611534875861522,0.32539420920473405
2020-06-16,0.309681110343551,0.36493888406141,0.325380005595039
2020-06-17,0.30857729631576225,0.36990304943399555,0.3215196542502421
2020-06-18,0.3180752016149509,0.36095899901730955,0.3209657993677395
2020-06-19,0.32097260365743363,0.3547065714845923,0.3243208248579741
2020-06-22,0.32633960200974504,0.3539431687723103,0.31971722921794465
2020-06-23,0.32348494735231736,0.35345683314783816,0.3230582194998444
2020-06-24,0.3255513094386912,0.3562137898593333,0.31823490070197546
2020-06-25,0.32594303458532836,0.3514719858342772,0.32258497958039445
2020-06-26,0.32078679246378333,0.35520863798487323,0.3240045695513435
2020-06-29,0.3196594481177775,0.35639047111894373,0.3239500807632788
2020-06-30,0.3169830182911141,0.35759043140446584,0.3254265503044201
2020-07-01,0.3254071261901817,0.35337837724822224,0.3212144965615962
2020-07-02,0.32604168994511373,0.3510005680548663,0.3229577420000201
2020-07-06,0.32810491085615073,0.3488534747850516,0.32304161435879775
2020-07-07,0.3324742732124439,0.34285957526276806,0.3246661515247881
2020-07-08,0.33194954945161576,0.3445650223532635,0.3234854281951208
2020-07-09,0.3326566086218331,0.3444982948600661,0.32284509651810056
2020-07-10,0.3311850627004164,0.3458192005562382,0.32299573674334536
2020-07-13,0.32822363045113906,0.35228059577313814,0.3194957737757228
2020-07-14,0.3304785969852897,0.3481154683593004,0.3214059346554098
2020-07-15,0.32888810226578113,0.3499755034799706,0.32113639425424845
2020-07-16,0.32858833519829667,0.3479805058787996,0.32343115892290375
2020-07-17,0.3273559141701327,0.3509795181937874,0.32166456763607987
2020-07-20,0.32981813198569904,0.34738629760913237,0.3227955704051687
