id,type,symbol,entry_date,exit_date,entry,exit,shares,pnl,return_pct,agg_pnl,bars,pnl_per_bar,stop
538,long,DMLP,2020-05-26,2020-07-01,11.94,12.54,2,1.2,5.03,1985.21,26,0.05,
539,long,DMLP,2020-05-28,2020-07-01,12.02,12.54,2,1.04,4.33,1986.25,24,0.04,
540,long,DMLP,2020-05-29,2020-07-01,11.78,12.54,5,3.8,6.45,1990.05,23,0.17,
541,long,DMLP,2020-06-01,2020-07-01,11.7,12.54,4,3.36,7.18,1993.41,22,0.15,
542,long,DMLP,2020-06-02,2020-07-01,11.77,12.54,3,2.31,6.54,1995.72,21,0.11,
543,long,DMLP,2020-06-04,2020-07-01,12.1,12.54,2,0.88,3.64,1996.6,19,0.05,
544,long,DMLP,2020-06-05,2020-07-01,12.81,12.54,2,-0.54,-2.11,1996.06,18,-0.03,
545,long,DMLP,2020-06-10,2020-07-01,13.16,12.54,1,-0.62,-4.71,1995.44,15,-0.04,
546,long,DMLP,2020-06-11,2020-07-01,12.15,12.54,5,1.95,3.21,1997.39,14,0.14,
547,long,DMLP,2020-06-12,2020-07-01,11.89,12.54,5,3.25,5.47,2000.64,13,0.25,
548,long,DMLP,2020-06-15,2020-07-01,11.3,12.54,2,2.48,10.97,2003.12,12,0.21,
549,long,DMLP,2020-06-16,2020-07-01,11.7,12.54,2,1.68,7.18,2004.8,11,0.15,
550,long,DMLP,2020-06-17,2020-07-01,11.37,12.54,2,2.34,10.29,2007.14,10,0.23,
551,long,DMLP,2020-06-18,2020-07-01,11.18,12.54,5,6.8,12.16,2013.94,9,0.76,
552,long,DMLP,2020-06-26,2020-07-01,11.47,12.54,1,1.07,9.33,2015.01,3,0.36,
553,long,DMLP,2020-06-30,2020-07-01,12.28,12.54,1,0.26,2.12,2015.27,1,0.26,
554,long,EXPD,2020-06-30,2020-07-01,75.4,76.44,21,21.84,1.38,2037.11,1,21.84,
555,long,META,2020-06-29,2020-07-01,213.93,233.28,7,135.45,9.05,2172.56,2,67.73,
556,long,RVLV,2020-07-01,2020-07-02,15.31,15.54,110,25.3,1.5,2197.86,1,25.3,
557,long,ULTA,2020-06-09,2020-07-02,246.59,205.26,1,-41.33,-16.76,2156.53,17,-2.43,
558,long,INMD,2020-06-25,2020-07-06,14.48,14.8,1,0.32,2.21,2156.85,6,0.05,
559,long,MSB,2020-06-18,2020-07-06,17.83,17.57,2,-0.52,-1.46,2156.33,11,-0.05,
560,long,INMD,2020-06-25,2020-07-07,14.48,14.65,7,1.19,1.17,2157.52,7,0.17,
561,long,LSTR,2020-07-01,2020-07-07,112.35,113.5,14,16.1,1.02,2173.62,3,5.37,
562,long,RVLV,2020-07-07,2020-07-08,15.63,16.38,105,78.75,4.8,2252.37,1,78.75,
563,long,MSB,2020-06-18,2020-07-08,17.83,16.96,1,-0.87,-4.88,2251.5,13,-0.07,
564,long,DMLP,2020-07-02,2020-07-10,12.2,11.3,1,-0.9,-7.38,2250.6,5,-0.18,
565,long,MSB,2020-06-18,2020-07-10,17.83,17.08,2,-1.5,-4.21,2249.1,15,-0.1,
566,long,SIMO,2020-07-08,2020-07-10,43.83,43.62,2,-0.42,-0.48,2248.68,2,-0.21,
567,long,SMLR,2020-07-01,2020-07-10,45.45,45.08,1,-0.37,-0.81,2248.31,6,-0.06,
568,long,MSB,2020-06-18,2020-07-13,17.83,17.42,2,-0.82,-2.3,2247.49,16,-0.05,
569,long,SMLR,2020-07-01,2020-07-13,45.45,47.68,1,2.23,4.91,2249.72,7,0.32,
570,long,INMD,2020-06-25,2020-07-14,14.48,15.39,10,9.1,6.28,2258.82,12,0.76,
571,long,SMLR,2020-07-01,2020-07-14,45.45,47.24,33,59.07,3.94,2317.89,8,7.38,
572,long,SMLR,2020-07-07,2020-07-14,44.35,47.24,1,2.89,6.52,2320.78,5,0.58,
573,long,INMD,2020-06-25,2020-07-15,14.48,16.9,87,210.54,16.71,2531.32,13,16.2,
574,long,INMD,2020-06-26,2020-07-15,14.2,16.9,6,16.2,19.01,2547.52,12,1.35,
575,long,INMD,2020-06-30,2020-07-15,13.92,16.9,3,8.94,21.41,2556.46,10,0.89,
576,long,INMD,2020-07-01,2020-07-15,13.95,16.9,1,2.95,21.15,2559.41,9,0.33,
577,long,INMD,2020-07-02,2020-07-15,14.24,16.9,1,2.66,18.68,2562.07,8,0.33,
578,long,INMD,2020-07-08,2020-07-15,14.23,16.9,4,10.68,18.76,2572.75,5,2.14,
