id,type,symbol,entry_date,exit_date,entry,exit,shares,pnl,return_pct,agg_pnl,bars,pnl_per_bar,stop
245,long,RVLV,2020-03-11,2020-04-20,11.68,12.03,1,0.35,3.0,-1747.91,27,0.01,
246,long,STKS,2020-03-16,2020-04-20,1.5,1.4,10,-1.0,-6.67,-1748.91,24,-0.04,
247,long,STKS,2020-03-17,2020-04-20,1.36,1.4,39,1.56,2.94,-1747.35,23,0.07,
248,long,INMD,2020-03-31,2020-04-20,10.39,12.24,1,1.85,17.81,-1745.5,13,0.14,
249,long,RVLV,2020-03-11,2020-04-21,11.68,11.67,3,-0.03,-0.09,-1745.53,28,-0.0,
250,long,DMLP,2020-01-24,2020-04-21,17.51,10.25,1,-7.26,-41.46,-1752.79,60,-0.12,
251,long,INMD,2020-03-31,2020-04-21,10.39,11.71,2,2.64,12.7,-1750.15,14,0.19,
252,long,EXPI,2020-04-13,2020-04-21,4.02,4.09,4,0.28,1.74,-1749.87,6,0.05,
253,long,DMLP,2020-01-24,2020-04-22,17.51,10.84,4,-26.68,-38.09,-1776.55,61,-0.44,
254,long,STKS,2020-03-17,2020-04-22,1.36,1.43,18,1.26,5.15,-1775.29,25,0.05,
255,long,STKS,2020-03-18,2020-04-22,1.25,1.43,13,2.34,14.4,-1772.95,24,0.1,
256,long,EXPI,2020-04-13,2020-04-22,4.02,4.19,8,1.36,4.23,-1771.59,7,0.19,
257,long,DMLP,2020-01-24,2020-04-23,17.51,11.18,4,-25.32,-36.15,-1796.91,62,-0.41,
258,long,EXPI,2020-04-13,2020-04-23,4.02,4.24,3,0.66,5.47,-1796.25,8,0.08,
259,long,VALE,2020-04-09,2020-04-23,8.59,8.04,3,-1.65,-6.4,-1797.9,9,-0.18,
260,long,MSB,2020-04-08,2020-04-23,13.41,13.05,2,-0.72,-2.68,-1798.62,10,-0.07,
261,long,DMLP,2020-01-24,2020-04-24,17.51,11.69,4,-23.28,-33.24,-1821.9,63,-0.37,
262,long,INMD,2020-03-31,2020-04-24,10.39,11.28,2,1.78,8.57,-1820.12,17,0.1,
